problem_id	user_id	skill_id	correct
1	48	Stanica	0
2	48	Stanica	1
3	48	Stanica	0
4	48	Stanica	0
5	48	Stanica	1
0	49	Stanica	0
1	49	Stanica	0
2	49	Stanica	0
3	49	Stanica	0
4	49	Stanica	0
5	49	Stanica	0
0	50	Stanica	1
1	50	Stanica	0
2	50	Stanica	1
3	50	Stanica	1
4	50	Stanica	1
5	50	Stanica	1
0	51	Stanica	1
1	51	Stanica	1
2	51	Stanica	1
3	51	Stanica	1
4	51	Stanica	0
5	51	Stanica	1
0	52	Stanica	1
1	52	Stanica	1
2	52	Stanica	1
3	52	Stanica	1
4	52	Stanica	1
5	52	Stanica	1
0	53	Stanica	1
1	53	Stanica	1
2	53	Stanica	1
3	53	Stanica	1
4	53	Stanica	1
5	53	Stanica	1
0	54	Stanica	1
1	54	Stanica	1
2	54	Stanica	1
3	54	Stanica	0
4	54	Stanica	1
5	54	Stanica	1
0	55	Stanica	0
1	55	Stanica	0
2	55	Stanica	1
3	55	Stanica	1
4	55	Stanica	1
5	55	Stanica	1
0	56	Stanica	1
1	56	Stanica	1
2	56	Stanica	1
3	56	Stanica	0
4	56	Stanica	1
5	56	Stanica	1
0	57	Stanica	1
1	57	Stanica	1
2	57	Stanica	1
3	57	Stanica	1
4	57	Stanica	1
5	57	Stanica	1
0	58	Stanica	0
1	58	Stanica	1
2	58	Stanica	0
3	58	Stanica	1
4	58	Stanica	0
5	58	Stanica	1
0	59	Stanica	0
1	59	Stanica	1
2	59	Stanica	1
3	59	Stanica	0
4	59	Stanica	1
5	59	Stanica	0
0	60	Stanica	0
1	60	Stanica	1
2	60	Stanica	1
3	60	Stanica	1
4	60	Stanica	1
5	60	Stanica	1
0	61	Stanica	1
1	61	Stanica	1
2	61	Stanica	0
3	61	Stanica	0
4	61	Stanica	0
5	61	Stanica	1
0	62	Stanica	1
1	62	Stanica	1
2	62	Stanica	0
3	62	Stanica	0
4	62	Stanica	1
5	62	Stanica	1
0	63	Stanica	1
1	63	Stanica	1
2	63	Stanica	1
3	63	Stanica	1
4	63	Stanica	1
5	63	Stanica	1
0	64	Stanica	1
1	64	Stanica	1
2	64	Stanica	1
3	64	Stanica	1
4	64	Stanica	1
5	64	Stanica	1
0	65	Stanica	0
1	65	Stanica	0
2	65	Stanica	1
3	65	Stanica	1
4	65	Stanica	0
5	65	Stanica	1
0	66	Stanica	1
1	66	Stanica	0
2	66	Stanica	0
3	66	Stanica	0
4	66	Stanica	0
5	66	Stanica	0
0	67	Stanica	1
1	67	Stanica	1
2	67	Stanica	0
3	67	Stanica	0
4	67	Stanica	1
5	67	Stanica	1
0	68	Stanica	1
1	68	Stanica	1
2	68	Stanica	1
3	68	Stanica	1
4	68	Stanica	0
5	68	Stanica	1
0	69	Stanica	1
1	69	Stanica	0
2	69	Stanica	0
3	69	Stanica	0
4	69	Stanica	0
5	69	Stanica	0
0	70	Stanica	1
1	70	Stanica	0
2	70	Stanica	1
3	70	Stanica	1
4	70	Stanica	1
5	70	Stanica	0
0	71	Stanica	1
1	71	Stanica	1
2	71	Stanica	1
3	71	Stanica	1
4	71	Stanica	0
5	71	Stanica	1
0	72	Stanica	1
1	72	Stanica	1
2	72	Stanica	1
3	72	Stanica	1
4	72	Stanica	1
5	72	Stanica	1
0	73	Stanica	1
1	73	Stanica	1
2	73	Stanica	0
3	73	Stanica	1
4	73	Stanica	1
5	73	Stanica	1
0	74	Stanica	1
1	74	Stanica	1
2	74	Stanica	1
3	74	Stanica	0
4	74	Stanica	1
5	74	Stanica	1
0	75	Stanica	0
1	75	Stanica	1
2	75	Stanica	0
3	75	Stanica	1
4	75	Stanica	0
5	75	Stanica	1
0	76	Stanica	0
1	76	Stanica	0
2	76	Stanica	0
3	76	Stanica	0
4	76	Stanica	0
5	76	Stanica	0
0	77	Stanica	1
1	77	Stanica	1
2	77	Stanica	1
3	77	Stanica	1
4	77	Stanica	1
5	77	Stanica	0
0	78	Stanica	1
1	78	Stanica	0
2	78	Stanica	1
3	78	Stanica	1
4	78	Stanica	1
5	78	Stanica	0
0	79	Stanica	1
1	79	Stanica	1
2	79	Stanica	1
3	79	Stanica	0
4	79	Stanica	1
5	79	Stanica	1
0	80	Stanica	0
1	80	Stanica	0
2	80	Stanica	1
3	80	Stanica	1
4	80	Stanica	0
5	80	Stanica	1
0	81	Stanica	0
1	81	Stanica	1
2	81	Stanica	0
3	81	Stanica	0
4	81	Stanica	1
5	81	Stanica	0
0	82	Stanica	1
1	82	Stanica	1
2	82	Stanica	0
3	82	Stanica	0
4	82	Stanica	1
5	82	Stanica	1
0	83	Stanica	1
1	83	Stanica	1
2	83	Stanica	1
3	83	Stanica	0
4	83	Stanica	0
5	83	Stanica	0
6	0	Stanični metabolizam	1
7	0	Stanični metabolizam	0
8	0	Stanični metabolizam	0
9	0	Stanični metabolizam	1
10	0	Stanični metabolizam	1
11	0	Stanični metabolizam	0
6	1	Stanični metabolizam	0
7	1	Stanični metabolizam	1
8	1	Stanični metabolizam	1
9	1	Stanični metabolizam	1
10	1	Stanični metabolizam	1
11	1	Stanični metabolizam	1
6	2	Stanični metabolizam	0
7	2	Stanični metabolizam	1
8	2	Stanični metabolizam	0
