Epoch	Auc	Accuracy	loss
1	0.5006686578558062	0.7249963229886748	0.5953341512517496
2	0.5143963380817178	0.7270186792175319	0.5872666467771386
3	0.528005367057298	0.7270186792175319	0.586180604994297
4	0.5496576516468779	0.7270186792175319	0.5832554250955582
5	0.5802687749721829	0.7287101044271216	0.5781690001939283
1	0.5006130342783429	0.7232520077646253	0.595665187320926
2	0.5066474854387937	0.7245080500894454	0.5890765571684549
3	0.523679725535769	0.7245080500894454	0.5881626937877048
4	0.5457718990765619	0.7245080500894454	0.5858841362324628
5	0.5657325770876398	0.7244319263121836	0.5820742190787287
1	0.47829073879771783	0.7147804714557032	0.6076089877522353
2	0.4846002923393231	0.7173872565448925	0.6000517615766237
3	0.4984054974272082	0.7173872565448925	0.5993407088698763
4	0.5221887286372259	0.7173872565448925	0.597582826785969
5	0.5480102616175098	0.7176106952668231	0.5946899559913259
1	0.5101590148744106	0.7218384796326027	0.5966639101053729
2	0.5071885645113806	0.7255721913153866	0.590302430770614
3	0.515388453122205	0.7255721913153866	0.5896985903382301
4	0.533124161824458	0.7255721913153866	0.5881321360215996
5	0.5544570477807755	0.7255721913153866	0.585193615293864
1	0.49486289318226306	0.7253335288080927	0.5919989808039232
2	0.5029387173467964	0.7264330743292773	0.5862555458690181
3	0.5161171470349977	0.7264330743292773	0.5853711335044919
4	0.5368827992933183	0.7264330743292773	0.5833843741001505
5	0.558188456964773	0.7264330743292773	0.5799482697338769
1	0.5027311746506989	0.7112642145423566	0.6087422007412622
