Epoch	Auc	Accuracy	loss
1	0.4775557340179745	0.7187806561784689	0.6066366802110816
2	0.49942913681450696	0.7205246521091451	0.5987574778722994
1	0.5123997075614044	0.7175612888603483	0.5973964832497366
2	0.5160496113310058	0.7195255543383825	0.5914936485615644
1	0.5037886062727384	0.7168033695411217	0.6014079634438861
2	0.5074049394101042	0.7181334515628464	0.5951954160224308
1	0.5024290389453235	0.7187817641079697	0.603396267601938
2	0.5077449732983099	0.7188570568083424	0.5965585225459301
1	0.4775360281040027	0.7145153452207395	0.6046403450044718
2	0.5012744585962501	0.7173937422900079	0.5966266757159522
1	0.5103841420686227	0.709072497468402	0.608389294960282
2	0.5092126262240101	0.711397817199865	0.6022830194596088
1	0.4909867479679843	0.7209651350727315	0.5997475631760828
2	0.5034250980649482	0.7226968367582545	0.5924850070115292
1	0.4927887025290084	0.7158568061945909	0.6046417947068359
2	0.4915864585632389	0.7179515954064265	0.5965865541136626
1	0.5049228196390516	0.7148874310421948	0.6036106740886514
2	0.504329115862449	0.717086625913225	0.5963546717257211
1	0.47723510833489896	0.7241586312985405	0.5989587837547967
2	0.49743702986764643	0.7259595542715642	0.5910209970492305
1	0.49255932691609694	0.7227461335345152	0.5962030650539831
2	0.48996512756418165	0.7258393059222935	0.5883197608319196
1	0.5072118502509999	0.7225028160313942	0.5972492015271476
2	0.5095729839164806	0.7239199157007377	0.5914711446473093
1	0.5038707015981078	0.7198464912280702	0.6012168124769673
2	0.500927670576484	0.720687134502924	0.594014639655749
1	0.5186754804626611	0.726261985598627	0.5935968591859846
2	0.5086554619689755	0.7273812632914226	0.589348195177136
1	0.49081122693217166	0.7196687685178151	0.5942547194885485
2	0.5073388116578788	0.7219098989592039	0.5867830551031864
1	0.5040010697627132	0.7263150057700183	0.5915389952786041
2	0.49851177210630404	0.7273201057216245	0.5855946563410036
1	0.49791384054296695	0.7173492901211626	0.6012859041943694
2	0.5149348358982464	0.7205084367799004	0.5928243601864035
1	0.4941343465459224	0.7143924116812309	0.6062502391410597
2	0.49247731577703	0.7170064978713869	0.5991360737067281
1	0.489896508585258	0.7207137315748642	0.5985689264806834
2	0.5136856254060135	0.7235952565665521	0.5897731494271394
1	0.5090169401911239	0.7282937528361821	0.5947069640864026
2	0.5110351996530296	0.7298441990621691	0.5871300394787933
1	0.4930513937401874	0.7166377816291161	0.6076536878491893
2	0.4805362184921767	0.7178057418431165	0.600524472467827
1	0.4986262414695223	0.7118978482614846	0.6041999890497236
2	0.4997146026797106	0.7139081229990321	0.5974607596343214
1	0.4836308823483058	0.71658615136876	0.5997893485155973
2	0.5012317124786794	0.7192316540142627	0.594514276042129
1	0.5064975523282284	0.7219621862676445	0.5995912759593038
2	0.5064262891491431	0.7237681052592784	0.5939659026987625
1	0.49209909997728263	0.7164263821092065	0.6003244401830615
2	0.5093696339411418	0.7224051159798691	0.5940478529893991
1	0.49072412009872274	0.7179119302505242	0.6012142158367417
2	0.4974458787869463	0.7196041643674356	0.5933692265640605
1	0.497998361644797	0.7237259942537426	0.5962565834775115
2	0.5052724605341855	0.7255027975200363	0.5891614059607188
1	0.49784157848215815	0.7203936332799046	0.6031180782751604
