Epoch	Auc	Accuracy	loss
1	0.5071957884135471	0.7291350134966507	0.5861102792301348
1	0.5479089629004454	0.7303018587982071	0.5812760801719767
1	0.6059675719596548	0.7303491256857686	0.5733132567256689
1	0.6355839587794748	0.7302039623389909	0.5603370665173445
1	0.642686830141971	0.7303529510067341	0.556979433500341
1	0.6444202587690879	0.7303494503716808	0.5561298073402473
1	0.6440390473951701	0.7299800230543342	0.5564844109384077
1	0.6437288736347335	0.7301999717981794	0.5560356566150274
1	0.6444405904849112	0.7302328010549818	0.5562047792066421
1	0.6447371595651198	0.7300917057690601	0.5564054460929972
1	0.6441784640050178	0.7304320601127113	0.556271898560226
1	0.6445994763067611	0.7298393418975844	0.5562762998576675
